"","Attrition","BusinessTravel","DailyRate","Department","EducationField","Gender","HourlyRate","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","TotalWorkingYears","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Age_Group","Env_Group","Years_Group","Edu_Group","WorkLife_Group","JobInvolvement_Group"
"1","No","Travel_Rarely","1358","Sales","Life Sciences","Male","96","2","Sales Executive","3","Married","5301","2939","No","15","3","3","4","1","2","2","Young","High","Low","Low","Low","High"
"2","No","Travel_Rarely","1325","Research & Development","Life Sciences","Female","82","2","Laboratory Technician","3","Married","3149","21821","No","20","4","2","9","2","1","4","Old","High","Low","High","High","High"
"3","No","Travel_Rarely","462","Sales","Medical","Female","68","2","Sales Executive","3","Single","6244","7824","No","17","3","1","10","4","0","3","Medium","High","Low","Low","High","Low"
"4","No","Non-Travel","177","Research & Development","Medical","Male","37","4","Healthcare Representative","2","Divorced","13577","25592","Yes","15","3","4","34","9","15","0","Old","High","High","Low","High","Low"
"5","No","Travel_Rarely","1029","Research & Development","Life Sciences","Female","91","3","Healthcare Representative","2","Single","8606","21195","No","19","3","4","11","8","3","3","Medium","High","High","High","Low","Low"
"6","No","Travel_Rarely","1318","Sales","Marketing","Female","66","4","Manager","3","Married","16307","5594","No","14","3","3","29","6","4","17","Old","Low","High","High","Low","High"
"7","No","Travel_Rarely","932","Research & Development","Life Sciences","Female","43","2","Manufacturing Director","4","Married","6062","4051","Yes","13","3","4","8","3","0","2","Medium","High","Low","Low","High","Low"
"8","No","Travel_Rarely","507","Research & Development","Life Sciences","Male","97","2","Laboratory Technician","3","Single","2272","24812","No","14","3","2","5","3","1","2","Young","Low","Low","Low","High","High"
"9","No","Travel_Rarely","1153","Research & Development","Other","Female","40","1","Laboratory Technician","3","Married","3702","16376","No","11","3","2","5","4","0","4","Medium","High","Low","Low","High","Low"
"10","Yes","Travel_Rarely","1420","Sales","Marketing","Male","85","1","Sales Representative","1","Divorced","3041","16346","No","11","Not Known","2","5","3","0","2","Young","High","Low","Low","High","High"
"11","No","Travel_Frequently","1318","Sales","Marketing","Male","79","2","Sales Executive","4","Single","4648","26075","No","13","3","3","4","0","0","0","Young","High","Low","High","High","High"
"12","No","Travel_Rarely","1398","Sales","Life Sciences","Female","79","5","Manager","3","Married","18041","13022","No","14","3","4","21","15","1","12","Medium","High","High","High","High","High"
"13","No","Non-Travel","1188","Sales","Marketing","Female","45","2","Sales Executive","3","Married","6932","24406","No","13","3","4","9","8","0","0","Young","High","Low","Low","Low","High"
"14","No","Travel_Rarely","1216","Sales","Marketing","Male","39","2","Sales Executive","3","Divorced","7104","20431","No","12","3","4","6","0","1","2","Medium","High","Low","High","High","High"
"15","No","Travel_Frequently","602","Human Resources","Human Resources","Male","37","2","Human Resources","4","Married","5743","10503","Yes","11","3","3","14","7","0","2","Medium","Low","High","High","High","High"
"16","Yes","Travel_Frequently","459","Research & Development","Life Sciences","Male","73","1","Research Scientist","4","Single","2439","14753","Yes","24","4","2","1","0","1","0","Young","High","Low","Low","Low","Low"
"17","No","Non-Travel","1184","Research & Development","Life Sciences","Female","70","1","Laboratory Technician","2","Married","2332","3974","No","20","4","3","5","0","0","2","Young","High","Low","High","High","Low"
"18","No","Travel_Rarely","852","Sales","Marketing","Male","72","2","Sales Executive","3","Married","6578","2706","No","18","3","1","10","3","1","4","Young","High","High","High","High","Low"
"19","No","Travel_Rarely","444","Sales","Marketing","Female","92","2","Sales Executive","2","Married","5677","4258","No","14","3","3","15","8","5","10","Medium","Low","High","Low","High","High"
"20","No","Travel_Frequently","1474","Research & Development","Other","Male","97","1","Laboratory Technician","3","Married","2093","9260","No","17","3","4","8","2","2","0","Medium","Low","Low","Low","High","High"
"21","No","Travel_Rarely","1001","Research & Development","Life Sciences","Female","43","3","Healthcare Representative","1","Married","9985","9262","No","16","3","1","10","0","0","0","Medium","High","Low","High","Low","High"
"22","No","Travel_Rarely","991","Sales","Medical","Male","43","2","Sales Executive","2","Divorced","4187","3356","Yes","13","3","2","10","0","0","9","Young","Low","High","High","Low","Low"
"23","No","Travel_Frequently","720","Research & Development","Medical","Male","51","2","Laboratory Technician","3","Single","5094","11983","No","14","3","4","10","0","0","0","Medium","Low","Low","High","High","Low"
"24","No","Travel_Rarely","802","Research & Development","Other","Male","45","1","Laboratory Technician","4","Divorced","3917","9541","No","20","4","1","3","2","1","2","Medium","Low","Low","High","Low","High"
"25","No","Travel_Rarely","1339","Sales","Life Sciences","Female","41","3","Sales Executive","4","Married","9419","8053","No","12","3","3","12","9","7","4","Young","Low","High","High","High","High"
"26","No","Travel_Frequently","458","Research & Development","Medical","Female","60","3","Research Director","1","Married","13191","23281","Yes","17","3","3","20","0","0","0","Medium","Low","Low","High","High","High"
"27","No","Non-Travel","543","Sales","Marketing","Male","87","2","Sales Executive","2","Married","4978","3536","No","11","3","4","4","0","0","0","Medium","High","Low","High","Low","High"
"28","No","Travel_Rarely","735","Sales","Medical","Female","75","2","Sales Executive","4","Married","8103","16495","Yes","12","3","3","9","2","0","1","Medium","High","Low","Low","Low","Low"
"29","No","Travel_Frequently","664","Research & Development","Medical","Male","79","1","Research Scientist","1","Married","2194","5868","No","13","3","4","5","2","1","2","Medium","Low","Low","High","Low","High"
"30","Yes","Travel_Rarely","906","Research & Development","Life Sciences","Female","92","1","Research Scientist","1","Single","2404","11479","Yes","20","4","3","3","0","0","0","Young","High","Low","High","High","Low"
"31","No","Travel_Rarely","180","Research & Development","Medical","Male","65","1","Research Scientist","1","Single","3424","21632","No","13","3","3","6","3","0","1","Young","Low","Low","Low","Low","High"
"32","Yes","Travel_Rarely","303","Sales","Life Sciences","Male","84","2","Sales Executive","4","Single","5813","13492","Yes","18","3","4","10","7","7","7","Medium","High","High","High","High","High"
"33","No","Non-Travel","573","Research & Development","Medical","Female","79","2","Research Scientist","4","Divorced","5329","15717","Yes","12","3","Not Known","17","11","1","9","Medium","Low","High","High","High","Low"
"34","No","Travel_Rarely","531","Sales","Marketing","Female","56","3","Sales Executive","4","Single","10231","20364","No","14","3","4","23","7","15","17","Medium","High","High","High","High","Low"
"35","No","Travel_Rarely","1320","Research & Development","Technical Degree","Female","89","1","Research Scientist","3","Married","2585","21643","No","17","3","4","2","0","0","0","Medium","High","Low","High","Low","High"
"36","No","Travel_Rarely","1198","Research & Development","Other","Male","100","1","Research Scientist","1","Single","2799","3339","Yes","11","3","2","6","2","0","2","Medium","High","Low","High","High","Low"
"37","No","Travel_Rarely","189","Human Resources","Human Resources","Male","71","5","Manager","2","Married","19636","25811","Yes","18","3","1","35","9","1","4","Old","High","High","High","High","High"
"38","No","Travel_Rarely","1470","Research & Development","Medical","Female","71","1","Research Scientist","2","Married","3936","9953","No","11","3","1","8","4","7","7","Medium","Low","Low","High","Low","High"
"39","No","Travel_Rarely","1355","Human Resources","Life Sciences","Female","61","1","Human Resources","3","Married","2942","8916","No","23","4","4","8","7","5","7","Young","High","Low","Low","High","High"
"40","No","Travel_Rarely","1079","Sales","Medical","Female","86","2","Sales Executive","4","Divorced","6583","20115","Yes","11","3","4","8","2","1","4","Young","High","Low","Low","High","High"
"41","No","Travel_Rarely","706","Research & Development","Life Sciences","Male","82","3","Manufacturing Director","4","Divorced","8578","19989","No","14","3","3","12","8","4","7","Medium","High","Low","Low","Low","High"
"42","No","Travel_Rarely","206","Human Resources","Life Sciences","Male","99","5","Manager","2","Single","19717","4022","No","14","3","1","36","3","7","7","Old","High","Low","High","High","High"
"43","No","Travel_Rarely","317","Research & Development","Life Sciences","Female","43","2","Manufacturing Director","4","Single","6091","24793","No","20","4","3","11","4","0","2","Young","High","Low","High","High","Low"
"44","Yes","Travel_Frequently","880","Sales","Other","Male","36","2","Sales Executive","4","Single","4581","10414","Yes","24","4","1","13","9","6","7","Medium","High","High","High","High","High"
"45","No","Travel_Rarely","582","Research & Development","Life Sciences","Female","60","4","Manufacturing Director","2","Married","13570","5640","No","23","4","3","21","7","0","10","Medium","Low","High","High","High","Low"
"46","No","Travel_Rarely","1245","Research & Development","Life Sciences","Male","58","5","Research Director","3","Divorced","19502","2125","Yes","17","3","3","31","9","0","9","Old","High","High","High","High","Low"
